Food name in Bengali,Energy,Protein,Fat ,Carbohydrate available ,Total dietary fibre ,Ash ,Na,Similarity(%)
"Misti alu, Komola Sundori, siddha, lobon chara",98,0.9,0.3,21.4,3.0,1.0,20.0,100.0
"Misti alu, holdey",105,0.9,0.3,23.1,3.0,1.0,22.0,100.0
"Misti alu, lal khosa",104,0.6,0.3,23.4,3.0,1.0,22.0,100.0
"Misti alu, sada",98,0.6,0.3,21.8,3.0,0.8,21.0,100.0
"Misti alu, sada, siddha, lobon chara",99,0.6,0.3,22.1,3.0,0.8,19.0,99.99
"Misti alu, Komola Sundori",97,0.9,0.3,21.1,3.0,1.0,22.0,99.99
"Misti alu, holdey, siddha, lobon chara",106,0.9,0.3,23.4,3.0,1.0,20.0,99.98
"Misti alu, lal khosa, siddha lobon chara",106,0.6,0.3,23.6,3.0,1.0,20.0,99.98
Piaj,59,1.4,0.1,12.2,1.9,0.7,11.0,99.96
Akher ross,33,0.7,0.0,7.5,0.0,0.1,7.0,99.95
"Alu siddha, lobon soho",84,1.4,0.8,16.6,2.5,1.8,20.0,99.93
"Gur, Akh",385,0.5,0.1,95.4,0.0,0.6,79.0,99.92
Golapjam,35,0.7,0.2,6.9,1.6,0.8,6.0,99.89
Ada,72,1.9,0.8,13.3,2.0,0.9,12.0,99.85
"Futi, paka",17,0.3,0.2,3.1,1.0,0.6,3.0,99.81
"Kancha pepe siddha, lobon chara",32,0.8,0.1,6.1,1.6,1.4,8.0,99.8
"Anaros, paka",47,1.0,0.1,9.7,1.4,0.6,13.0,99.79
"Pepe, paka",33,0.6,0.1,6.5,1.7,0.6,4.0,99.59
Cha pata,296,20.2,0.0,49.5,8.5,16.0,72.0,99.57
Boroi,60,1.9,0.2,12.6,0.0,1.0,7.0,99.54
Komola,44,0.7,0.2,8.7,2.4,0.3,5.0,99.53
"Kola, Sagar, paka",95,1.3,0.8,19.2,2.6,0.8,10.0,99.49
Atafol,85,1.8,0.3,16.6,4.4,0.9,9.0,99.46
Likar cha,29,0.21,0.0,7.1,0.1,0.2,3.0,99.43
Coffee,355,12.2,0.5,75.4,0.0,8.8,37.0,99.42
"Gol alu siddha, lobon chara",67,1.2,0.2,14.2,2.1,0.9,22.0,99.4
"Bon alu, bivinno projati",97,1.5,0.2,20.3,4.1,0.8,9.0,99.37
Nashpati,62,0.6,0.3,12.3,3.6,0.2,6.0,99.36
"Bon alu siddha, lobon chara",109,1.7,0.2,22.8,4.6,0.9,10.0,99.35
Payesh,205,4.3,4.7,36.2,0.2,0.9,65.0,99.35
Komol paniyo,41,0.0,0.0,10.3,0.0,0.1,4.0,99.34
Kamranga,41,0.5,0.7,6.7,2.8,0.5,4.0,99.21
Amloki,44,0.8,0.1,8.3,3.4,0.7,4.0,99.2
Golmorich,302,11.8,3.3,43.5,25.3,4.4,36.0,99.18
Mayer dudh,69,1.2,4.0,7.2,0.0,0.2,16.0,99.18
Dudh cha,41,0.73,0.8,7.6,0.2,0.3,14.0,99.16
Lemon ghas,116,1.4,0.9,25.5,0.0,2.0,9.0,99.16
"Peyara, bivinno projati, kancha",63,1.0,0.5,10.9,5.4,0.7,6.0,99.15
Holud,335,6.9,8.4,47.3,21.1,4.8,35.0,99.14
"Gab, Bilati, paka",67,0.7,0.2,13.9,3.6,0.5,5.0,99.13
"Tetul, paka",270,3.2,0.4,60.8,5.1,2.6,19.0,99.11
