Title,Energy,Fat,Protein,Salt,Saturates,Sugars,Similarity (%)
Cardamom Cookies,382.8457212,3.532434759,0.537729508,2.021193736,2.172555748,87.59138454,100
Colada Cookies,215.9723356,0.83082266,3.724157378,0.309823907,0.114568337,21.13369893,80
Carol's Cookies,514.1358475,39.41661945,0.83942433,0.017846346,5.399316117,33.6217848,77
Cardamom Carrots,500.564404,42.22223383,0.581529917,0.166376425,26.25743578,32.71448733,75
Cinnamon Cookies,489.0508702,28.36518957,4.189932168,0.335888426,17.48250378,25.73640776,75
Cinnamon Cookies,437.4788303,18.85359038,5.578920628,0.013654454,11.50351417,22.42985774,75
Casserole Cookies,581.9491712,50.24529923,20.44909669,0.017128596,6.185154846,6.857484631,73
Cardamom Cream,339.0243902,35.36178862,3.040650407,0.06504065,22.48699187,2.845528455,73
Cardamom Cider Syrup,111.4906832,1.263198758,2.130822981,0.002717391,0.143944099,8.068322981,72
Cardamom Crescents,503.6595443,31.39623421,5.242592374,0.354887262,14.39499469,21.60488726,71
Iced Carob Cookies,504.577657,31.60351976,4.790336203,0.031500135,18.88452909,35.6157625,71
Apricot Cookies,477.2904424,34.0153096,14.44205452,1.097225101,21.13451149,8.035881907,71
Cardamom Sables,499.3333333,31.16375,4.685208333,0.5,19.18575,16.9,71
Anzac Cookies,563.4486969,39.03308443,6.996673181,0.020832872,33.93638454,12.76549162,69
Carrot Cake Cookies,110.5822104,0.190904142,0.652214162,0.081843833,0.029604861,24.42095558,69
Anzac Cookies,344.4783047,35.84171128,0.919390959,0.06590598,23.10308468,3.484296197,69
Cardamom Kulfi Pops,259.4156083,0.350378093,1.210997724,0.039277586,0.227112547,65.84685412,69
Anzac Cookies,230.5798849,8.232379284,1.240252547,0.826366102,5.418903564,30.79556517,69
Anzac Cookies,585.1920865,43.79336918,2.317555066,0.184824548,36.74319752,32.59432583,69
Cooked Carrots,310.6256539,34.54566182,0.4735947,0.972620422,21.48432487,0.605663552,67
Checkerboard Cookies,691.1197499,75.14666511,1.436015352,0.045424145,46.7377357,1.599878223,67
Cardamom Syrup,180.9408926,0.089779832,0.151935101,0.002610475,0.009668597,46.29876887,67
Acorns Cookies,389.2724809,6.033940028,1.04414691,0.322717604,2.6497667,83.19814218,67
Cobweb Cookies,446.1113366,25.94116057,5.501590842,0.02202145,15.94356748,15.71600965,67
Animal Cookies,355.9976101,15.46870212,5.034975514,0.228497286,9.368326427,17.60693876,67
Agression Cookies,470.574523,25.52270119,7.930533639,0.353697461,6.235009324,21.75853536,67
Aggression Cookies,470.574523,25.52270119,7.930533639,0.353697461,6.235009324,21.75853536,65
Aggression Cookies,471.3336614,25.35802165,8.111466535,0.167322835,4.737204724,17.22687008,65
Aggression Cookies,470.574523,25.52270119,7.930533639,0.353697461,6.235009324,21.75853536,65
Cardamom Simple Syrup,124.7484909,2.354124748,3.983903421,0.005030181,0.253521127,4.215291751,65
Carrot Orange Cookies,380.2170652,2.476539751,0.383867908,0.959589804,1.52397644,90.61662292,65
Honey-Cardamom Crunch,411.4515502,24.39109991,0.992338007,0.032935575,15.25254554,49.40416589,65
Aggression Cookies,442.9213483,19.63550562,9.018876404,0.874831461,10.8487191,18.89348315,65
No-Bake Carob Cookies,364.8711431,18.94553861,4.825558296,0.033737222,8.159447543,46.13969998,65
Biscoff Cookies,414.4580726,20.11846608,4.746346332,0.567648386,12.34149353,23.73230609,65
Carob No Bake Cookies,128.1647382,2.634895177,4.058597778,0.093008936,1.446853401,18.93706801,65
Aggression Cookies,471.3336614,25.47613189,8.308316929,0.177165354,14.60334646,17.24655512,65
Aggression Cookies,471.0875984,25.47613189,8.308316929,0.414308563,14.60334646,17.24655512,65
Cream Scones,360.8829252,2.89386523,1.762684908,2.386768089,1.743958649,76.00124301,64
Cream Scones,362.3081645,14.09085328,5.975445058,0.802102517,8.722160835,15.60957643,64
Cream Scones,310.5213352,4.583405024,3.983138334,1.813435564,2.415283035,36.3996903,64
Cream Scones,340.5323958,11.49171271,7.340532396,2.401431441,7.038171773,3.154193872,64
Cream Scones,511.0902751,37.67924639,1.109613525,0.156538428,23.43208122,42.20516276,64
Cream Scones,300.4064513,4.788612877,4.350029187,3.194966922,2.857196134,52.6349613,64
Cream Scones,340.5323958,11.49171271,7.340532396,2.401431441,7.038171773,3.154193872,64
Beer Cookies,315.138191,16.68341709,4.672110553,0.214981156,7.70508794,9.068467337,64
Cream Scones,357.5350982,15.26148785,6.835595503,1.389680361,9.314316427,3.021421541,64
Cream Scones,471.6652752,28.75762636,1.376340633,0.973283668,17.83777535,33.67966091,64
Apricot Tea Cookies,515.7869708,36.98785214,1.417341319,1.804063307,22.99935205,45.89765862,63
Almond Lace Cookies,309.7989037,1.381553045,0.333974378,1.712139223,0.476869378,79.0821951,63
Carrot Oatmeal Cookies,417.6327992,25.33060279,3.885884852,0.147016154,3.540291854,22.00933982,63
Cardamom Shortbread,472.8145857,25.36301481,8.823864561,0.012412502,14.50293016,12.48168647,63
